date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:24	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2022%20Feb%202023%2018:14:29%20GMT	https://softcoders.net/robots.txt		(from )
16:42:24	179257/179257	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2018:26:18%20GMT	https://softcoders.net/products/html/poliox-dark-html/	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/index.html	(from )
16:42:26	39708/39708	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202024%2015:42:24%20GMT	https://softcoders.net/products/html/poliox-dark-html/apple-touch-icon.png	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/apple-touch-icon.png	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:26	24978/24978	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2003%20Oct%202023%2018:01:08%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/images/fav.svg	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/images/fav.svg	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:28	7510/7510	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:06%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/sal.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/sal.css	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:28	7306/7306	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:04%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/magnific-popup.css	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:29	220763/220763	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:04%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/bootstrap.min.css	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:29	19648/19648	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:06%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/swiper.min.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/swiper.min.css	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:29	5121/5121	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:04%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/ico-fonts.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/ico-fonts.css	(from https://softcoders.net/products/html/poliox-dark-html/)
16:42:30	3234/3234	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202023%2018:01:04%20GMT	https://softcoders.net/products/html/poliox-dark-html/assets/css/odometer.min.css	C:/My%20Web%20Sites/portfolio2/softcoders.net/products/html/poliox-dark-html/assets/css/odometer.min.css	(from https://softcoders.net/products/html/poliox-dark-html/)
